News url,QAnon,Botscore,Num
huffpost,0.12037667568146,0.1692907469289101,51397
washingtonpost,0.12492576210789512,0.15643722905980725,368747
nyt,0.13952090123730262,0.15919741932705778,379212
usatoday,0.14197742354298903,0.1712196580582346,110912
cnn,0.15233234049740668,0.16146155591648556,485478
theguardian,0.1543384213533589,0.169614224394737,61255
abcnews,0.15856786866021694,0.17867171761105513,81864
msnbc,0.17799903880310092,0.18194991463482985,95714
latimes,0.179626383961014,0.1656208745732781,93572
msn,0.18259237068104653,0.18168642155208675,125175
bbc,0.20346704532008048,0.18106488796186163,50706
nydailynews,0.2147414629166454,0.1851128269484005,19591
yahoo,0.22281247993837067,0.19141337392731195,62308
cnbc,0.26915210012493507,0.1898856999109913,90447
wsj,0.2833131736202632,0.19711486366580203,110782
reuters,0.2858094060414996,0.20113668168288074,73591
foxnews,0.3089269348077588,0.19514091146312046,266228
boston,0.3244304791830322,0.19307913624071715,17822
chicagotribune,0.34955050237969326,0.2031709578657203,11346
dailymail,0.3920406282192623,0.19243969280439802,55331
breitbart,0.42685544026336625,0.21433619482407132,191976
oann,0.5885135774434668,0.26170191529584064,21138
infowars,0.7102503744917612,0.25198260182272514,4673
